VIA AUGUSTO AGLEBERT 11,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 12,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 13,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 14,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 15,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 16,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 18,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 19,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 20,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA AUGUSTO AGLEBERT 21,152,Sede Quartiere Saragozza - Punto lettura                    ,via Pietralata 60, 
VIA AUGUSTO AGLEBERT 22,161,Centro Sociale della Pace  - Sala da ballo                  ,via del Pratello 53, 
VIA MARIA GAETANA AGNESI 1,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 3,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 4,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 5,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 6,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 8,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 9,148,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
VIA MARIA GAETANA AGNESI 10,147,Associazione Palazzina 37 - Teatro                          ,via Scipione Dal Ferro 16, 
